Words (split by space),anger,disgust,fear,joy,sad,surprise
bb star jackson denies goody comments,0.4118,0.4706,0,0,0,0.1176
horse teeth give details of ancient big chill,0,0,0.1319,0.1429,0.0549,0.6703
costner appeals in casino wrangle,0.7534,0,0,0,0.2055,0.0411
ancient coin shows cleopatra was no beauty,0,0,0,0,0,1
bear cub returned to the wilderness,0,0,0.0435,0.7826,0,0.1739
software giant sap misses target,0,0,0.1408,0,0.6338,0.2254
hunters stalk world s tallest trees,0.1795,0,0.1282,0.1795,0.3846,0.1282
merriman violation stuns ex teammate,0.0769,0.1667,0.1154,0,0.1923,0.4487
singapore pampers its waterfront promenade,0,0,0,0.6984,0,0.3016
reunited police to start world tour in may,0,0,0,0.8478,0,0.1522
ice storm descends on central u s,0.033,0,0.6374,0.1099,0.1429,0.0769
iran warns will hit back at us if attacked,0.3558,0.0798,0.362,0,0.1411,0.0613
township tourism booming in south africa,0,0,0,0.7193,0,0.2807
howard presses bush on terror suspect,0.1339,0.0536,0.4286,0.1071,0.125,0.1518
palestinian factions to resume talks,0,0,0,0.5942,0.029,0.3768
psych checks reviewed after astronaut s crack up,0.0208,0,0.1771,0.0208,0.4583,0.3229
african americans are organ donors these days but what about bone marrow,0,0,0.2188,0.2031,0.1875,0.3906
german chief forges accord on financing health care,0,0,0,0.6875,0,0.3125
venezuela iran fight u s dominance,0.4478,0.0896,0.1791,0.1194,0.1269,0.0373
space com black hole triplets spotted,0,0,0.0704,0.0563,0,0.8732
archaeologists find signs of early chimps tool use,0,0,0.0225,0.2584,0,0.7191
king and queen reign at british film awards,0,0,0,0.6974,0,0.3026
far away super bowl s losers will be champs,0,0,0,0.7568,0.2027,0.0405
survey tech a tool in teen dating abuse,0.0654,0.215,0.0935,0.0561,0.4019,0.1682
south africa mourns adelaide tambo,0,0,0,0,0.9157,0.0843
google to unveil election mashup,0,0,0,0.3846,0,0.6154
really the claim the back seat of a car is the safest place to sit,0,0,0.0822,0.3151,0,0.6027
miss brazil wins lawsuit competition,0,0,0.0706,0.6824,0,0.2471
see if your city is one of the united states top fittest or fattest,0.0633,0.0886,0.1646,0.1392,0.1392,0.4051
panda cub makes her debut,0,0,0,0.8939,0,0.1061
perfect lives lose their focus,0,0,0.082,0.5574,0.2623,0.0984
beckham goal helps real snatch win,0,0,0,0.8154,0,0.1846
eu document iranian bomb unstoppable,0.1008,0,0.5042,0,0.2353,0.1597
wii news for gamers,0,0,0,0.5733,0,0.4267
scientist snoops in astronauts journals,0.0541,0.4054,0.1216,0.0541,0.1081,0.2568
storm causes slick icy roads,0.0282,0.0563,0.5493,0,0.2958,0.0704
personal health for teenagers the car is the danger zone,0,0.0206,0.4845,0,0.2165,0.2784
catholic archbishop outlines anglican merger hopes,0,0,0,0.5778,0,0.4222
champion murray too good for kim,0,0.1818,0,0.3636,0.1364,0.3182
christian values guide dungy and the colts,0,0,0,0.675,0,0.325
tropical storm paul s outer bands hit mexico s baja california,0.1524,0,0.3048,0,0.5429,0
iraqi health minister seized in raid,0.1569,0.0588,0.1961,0.098,0.2418,0.2484
hicks first in line for trial bush says,0.1957,0.0435,0.2609,0.0217,0.2609,0.2174
prehistoric lovers found locked in eternal embrace,0,0,0,0.4286,0.1143,0.4571
judge threatens to shut down air india inquiry,0.5169,0.0225,0.1573,0,0.1798,0.1236
bird watchers flock to see rare owl,0,0,0,0.5698,0,0.4302
photographer kidnapping condemned,0.2956,0.3459,0,0.1321,0.2075,0.0189
melua s deep sea gig sets record,0,0,0,0.9,0,0.1
pound will not drop armstrong case,0.3,0,0.1333,0.1667,0.1,0.3
three drivers had reason to be proud in brazil,0,0,0,1,0,0
female astronaut sets record,0,0,0,0.7614,0,0.2386
scam lures victims with free puppy offer,0.1359,0.2136,0.1068,0.0291,0.1942,0.3204
violence continues at disputed holy site,0.2981,0.0192,0.2981,0,0.3654,0.0192
google executive acts as goodwill envoy,0,0,0,0.6329,0,0.3671
who are you calling fat,0,0.5714,0,0,0.4286,0
fda revises label warnings on the antibiotic ketek,0.117,0.0532,0.2021,0.3617,0.0851,0.1809
ex virginia gov not running for president,0,0,0,0,0,1
thousands rally in lebanon,0.2,0.0696,0.3913,0,0.1652,0.1739
allmendinger joining toyota team in nascar,0,0,0,0.7705,0,0.2295
iraqi sunni lands show new oil and gas promise,0,0.0676,0.1081,0.6622,0,0.1622
game on london exhibition celebrates the history of video games,0,0,0,0.9211,0,0.0789
james brown s partner can get her things,0,0,0.0606,0.6364,0.1818,0.1212
apple trademark dispute settled,0.2,0,0,0.5333,0.1,0.1667
russia plans major military build up,0.1517,0.0843,0.4213,0.0955,0.1236,0.1236
asian nations urge myanmar reform,0,0,0,0.4722,0,0.5278
kathmandu first snow in years,0.0179,0.0179,0.1071,0.0357,0.1339,0.6875
iraqi sunni lands show new oil and gas promise,0.051,0.0714,0.1735,0.4898,0,0.2143
accord on north korea is announced,0,0,0.0649,0.7792,0,0.1558
peru leader questioned in massacre probe,0.2295,0.1393,0.1557,0.1148,0.2459,0.1148
cher auction fetches double pre sale estimates,0,0,0,0.6818,0,0.3182
new gadgets galore at tech show,0,0,0,0.6143,0,0.3857
anna nicole smith s bahamas home seized,0.0235,0.0588,0.1059,0.0118,0.5765,0.2235
hackers strike at key internet servers,0.2774,0.1679,0.2628,0,0.1314,0.1606
israel says hopes to keep lebanon border calm,0.1087,0.0435,0.2174,0.4239,0.0435,0.163
sunshine goydos wins sony open,0,0,0,0.8824,0,0.1176
ps pricey but impressive,0,0.0175,0,0.7719,0,0.2105
fortune india the superpower think again,0,0.0222,0.1333,0.2444,0.0889,0.5111
friendly fire pilot experienced,0.0366,0.0854,0.3902,0,0.1707,0.3171
male sweat raises female hormones,0,0.1505,0,0.2258,0,0.6237
plo ministers agreed upon in mecca,0,0,0.1404,0.6491,0,0.2105
rescued boys parents hail miracle,0,0,0.0991,0.6577,0.0901,0.1532
peretz orders idf to respond with force to north border attacks,0.3586,0.0483,0.3448,0,0.1862,0.0621
scientists create first cloaking device,0,0,0,0.5,0,0.5
howell takes one shot lead in sony open,0,0,0,0.8545,0,0.1455
here is some advice to take to heart,0,0,0,0.4138,0,0.5862
u s to allow iraqi refugees,0.044,0,0.1319,0.3626,0.1538,0.3077
vital signs hazards antidepressant linked to fractures in older people,0.0417,0,0.2167,0,0.2833,0.4583
unilever group names new chairman,0,0,0.0541,0.7838,0,0.1622
allied with democrats lieberman easily aligns with republicans,0.0781,0.25,0,0,0.2656,0.4063
bush insists troops stay in iraq predicts midterm victory,0.1921,0.2938,0.2599,0.0339,0.2203,0
how to prevent iraq from getting even worse,0.1824,0.2294,0.3941,0,0.1941,0
bears fan loses bet and changes name,0.0299,0.194,0,0.0299,0.2537,0.4925
kuerten returns to winners circle,0,0,0,0.7069,0,0.2931
a small part of the brain and its profound effects,0,0,0.2791,0.0233,0.1395,0.5581
samba school leader killed before rio carnival,0.0818,0,0.2138,0.0252,0.522,0.1572
cutting through the clutter to get things done,0,0.0536,0.1607,0.375,0.1607,0.25
madrid bombings trial begins,0.0077,0,0.3538,0.2615,0.2769,0.1
snow causes airport closures in britain,0.0465,0,0.3953,0,0.5,0.0581
university offers support to new orleans school,0,0,0,0.7297,0,0.2703
talks begin on somalia peacekeepers,0.068,0.0097,0.1165,0.5534,0.1165,0.1359
eight years for damilola killers,0.2222,0.1345,0.1696,0.2047,0.2515,0.0175
official laughs for borat,0.2286,0.2095,0,0.3238,0.2381,0
loving with all your brain,0,0,0,0.4444,0,0.5556
new iraq terror tape calls for abducting foreigners,0.1814,0.1716,0.4657,0,0.1814,0
congolese soldiers riot loot over pay issue,0.3416,0.1056,0.2857,0,0.2671,0
equipment on plane in brazil collision may have been faulty,0.2103,0.1416,0.1974,0,0.2876,0.1631
cuban official web a wild colt,0,0,0.5143,0,0.2286,0.2571
sony hates europeans will prevent the importing of ps,0.5313,0.125,0,0,0,0.3438
committee debates cancer vaccine plan,0.0423,0,0.1408,0.2113,0.1549,0.4507
cleric said to lose reins over part of iraqi militia,0.226,0.226,0.226,0,0.2603,0.0616
experts fear likely shackled boy,0,0,0.5938,0,0.2708,0.1354
afghan poppy war alienates farmers,0.1087,0,0.3587,0,0.4674,0.0652
kentucky seeks alcohol huffing ban,0.0488,0.0488,0.2073,0.3902,0,0.3049
russian ship sinks in pacific,0.0818,0,0.2091,0,0.6,0.1091
waste plant fire forces to evacuate,0.194,0.0448,0.2239,0.0448,0.4925,0
students lose their rite of passage,0,0,0,0,1,0
russia warns us against missile bases in east europe,0.4211,0.114,0.4649,0,0,0
more human remains found at ground zero,0.2407,0.1358,0.037,0,0.4198,0.1667
google buys youtube for bn,0,0,0,0.2321,0,0.7679
with youtube grad student hits jackpot again,0,0,0,0.6316,0,0.3684
u s at odds with cleric s aide,0.1864,0.0339,0.4576,0,0.1864,0.1356
edwards campaign blogger quits amid catholic controversy,0.08,0.0933,0.1333,0.0133,0.24,0.44
salt lake city mall shooter was teenager,0.1014,0.0072,0.1377,0,0.3913,0.3623
inter milan set serie a win record,0.0328,0,0,0.8197,0,0.1475
iraqi suicide attack kills two us troops as militants fight purge,0.16,0.0914,0.3086,0,0.3943,0.0457
italy to try us soldier for agent s iraq death,0.4961,0.0543,0.0155,0.062,0.2946,0.0775
life in gaza steadily worsens,0.1111,0.085,0.3464,0,0.4575,0
utah gunman survived srebrenica,0.1061,0.1364,0.1515,0.2273,0.1818,0.197
test cricketer jailed over killing,0.2645,0.1157,0.1818,0.0661,0.3058,0.0661
united finds good connection in win,0,0,0,0.913,0,0.087
opportunity knocks on geologist s dream crater,0,0,0,0.8125,0,0.1875
turkmenistan votes for president,0,0,0,0.75,0,0.25
ottawa must redefine terror,0,0,0.8684,0,0.1316,0
morrissey may cheer up eurovision,0,0,0.0274,0.8356,0,0.137
youtube yields surprising payback,0,0,0,0.4301,0,0.5699
isinbayeva sets th world record,0,0,0,0.69,0,0.31
virtual american idol hits right notes,0,0,0,0.6377,0,0.3623
astronaut may have buckled under stress,0,0,0.2471,0,0.5059,0.2471
putin u s force fostering nuke ambitions,0.2872,0,0.4574,0,0.1383,0.117
troops massing around somali town,0.1606,0,0.6423,0,0.1971,0
royal seeks to revive french bid,0,0,0,0.8421,0,0.1579
search on for victims of subway collapse,0.0238,0,0.246,0.0238,0.6984,0.0079
republicans plan to block iraq debate,0.4959,0.1405,0,0,0.3058,0.0579
dad locked up son watched on tv police say,0.0727,0.4182,0,0,0.5091,0
mother daughter stabbed near school,0.0318,0.0255,0.3121,0,0.4713,0.1592
trolley square shooting leaves dead including gunman,0.069,0,0.3276,0,0.5,0.1034
defense to challenge russert s credibility,0.1429,0.1786,0,0,0,0.6786
wilkinson sets record in tame win,0,0,0,0.76,0,0.24
ingredient in male sweat raises women s hormone levels,0,0.1446,0,0.2048,0,0.6506
iran reneges on nuclear payments to russia,0.2442,0.1628,0.3488,0,0.0698,0.1744
nasa revisiting life on mars question,0,0,0,0.4182,0,0.5818
sights and sounds from ces,0,0,0,0.8095,0,0.1905
oracle world opens with dell unveiling amd powered computers,0,0,0,0.7179,0,0.2821
experts offer advice on salmonella,0,0,0.434,0.4528,0.0377,0.0755
stinky flower mystery solved,0,0.0781,0,0.6094,0.0156,0.2969
in the rockies pines die and bears feel it,0.12,0.05,0.22,0,0.45,0.16
beyonce in a bikini as si s swimsuit cover model,0.087,0.087,0.0435,0.5217,0.1087,0.1522
seahawks qb hasselbeck out weeks,0,0,0,0.1277,0.6596,0.2128
oil holds at,0.1026,0,0.0769,0.3077,0.2564,0.2564
three found alive from missing russian ship report,0,0,0.0331,0.4967,0.0927,0.3775
confusion reigns in the expanding digital world,0.1622,0,0.1622,0,0.1622,0.5135
doomsday clock ticking away,0,0,0.5513,0.2436,0.2051,0
italy drops sicily bridge plans,0,0,0,0,0,1
protest greets congestion charge s westward push,0.2623,0.1803,0.1475,0.2459,0.1311,0.0328
us airways boosts bid for delta,0,0.1786,0,0.3214,0.0357,0.4643
hurricane paul weakens to tropical storm,0,0,0.3269,0.3173,0,0.3558
a familiar and prescient voice brought to life,0,0,0,0.7805,0,0.2195
male sweat boosts women s hormone levels,0,0.1474,0,0.0632,0,0.7895
iran rejects us claims of supplying weapons in iraq,0.2389,0.1327,0.3009,0.0885,0.1593,0.0796
israel insists on lebanon overflights,0.3645,0.2897,0.0374,0,0.3084,0
gere cheers sex workers in aids fight,0.0128,0.1026,0.1282,0.4359,0.0897,0.2308
tv game shows go interactive,0,0,0,0.8462,0,0.1538
china detains after body parts found in mail,0.0316,0.2789,0.3789,0.0789,0.1105,0.1211
amish discuss shootings,0.0541,0.0135,0.3784,0,0.4189,0.1351
anna nicole claimant a prince of a guy,0,0,0,0.02,0.44,0.54
jones faces europe meetings snub,0.0952,0.0476,0.1429,0,0.5,0.2143
models health guidelines will they help,0,0,0.1458,0.2292,0.125,0.5
s jack bauer returns,0,0,0,0.9302,0,0.0698
uk announces immigration restrictions,0.236,0.2247,0.2191,0,0.2303,0.0899
commodities lead europe higher,0,0,0,0.8,0,0.2
iran says sunnis using pakistan as base planned fatal bombing,0.1329,0.0629,0.5804,0,0.1119,0.1119
asean talks end on energy security,0,0,0,0.7333,0.2667,0
norbit a waste of murphy,0,0.2353,0,0,0.5882,0.1765
petraeus takes command in iraq,0.1897,0.0862,0.3621,0.1379,0.0862,0.1379
merck gardasil may fight more strains,0.1139,0,0.2405,0.2658,0.1772,0.2025
anna nicole smith s body lies in legal limbo,0,0,0,0,0.7907,0.2093
terror officials see al qaeda chiefs regaining power,0.1008,0.0853,0.6667,0,0.124,0.0233
iran says it will strike us interests if attacked,0.2955,0.0739,0.3807,0,0.125,0.125
ashton kutcher tells secret to ryan seacrest,0,0,0,0.4211,0,0.5789
women protest pakistan demolition,0.2727,0.197,0.0985,0,0.197,0.2348
review ps pricey but impressive,0,0,0,0.7455,0.0909,0.1636
j k rowling marks spot of potter s end,0,0,0.0308,0.0923,0.5538,0.3231
sudan tells united nations envoy to leave in hours,0.1957,0,0,0,0.163,0.6413
salmonella outbreak traced to peanut butter,0.0367,0,0.6422,0,0.1468,0.1743
allen and okur get all star call,0,0,0,0.8043,0,0.1957
taliban seize rural district in southwest as police flee,0.18,0.08,0.34,0,0.2733,0.1267
pc world editor slain at california home,0.0897,0.0641,0.3269,0,0.4936,0.0256
israelis retaliate after attack by lebanese army,0.3117,0.0844,0.3442,0,0.2597,0
attack video saddens friendly fire widow,0.1083,0.0917,0.1333,0,0.6667,0
whether to save cord blood can be puzzle for parents,0,0,0.26,0.16,0,0.58
philippine anti terror law delayed until june,0.1809,0,0.3404,0,0.3404,0.1383
apple s dark secret the claim,0.1,0,0.1,0,0.225,0.575
spacewalker sets new u s record,0,0,0,0.7444,0,0.2556
france al qaeda suspects arrested,0.0696,0.0348,0.3739,0.2696,0.1043,0.1478
review nokia xpress music,0,0,0,0.8333,0,0.1667
sleep more to fight childhood obesity,0,0.0417,0.25,0.1667,0,0.5417
dead after utah mall shooting rampage,0.2034,0,0.2429,0,0.4294,0.1243
german paper shows soldiers desecrating skull,0.2638,0.4049,0.1043,0,0.227,0
japanese whaler afire in antarctic,0.1053,0.0921,0.1711,0,0.5263,0.1053
jet flips in snowstorm none dead,0,0,0.2679,0.3125,0.2589,0.1607
teacher in hiding after attack on islam stirs threats,0.1461,0.0225,0.427,0,0.4045,0
mistrial for officer who refused to go to iraq,0.2625,0.05,0.1625,0.1125,0.3375,0.075
rwanda mulling kid limit for families,0,0,0.0581,0.4186,0.1512,0.3721
man admits uk us terror bomb plot,0.1941,0.2529,0.3588,0,0.1941,0
deaths as bird flu flares in asia,0,0,0.5232,0,0.3974,0.0795
uk characters boosting box office,0,0,0,0.6321,0,0.3679
moscow says palestine israeli contacts key to mideast peace,0.0556,0.0278,0.0556,0.5139,0.2361,0.1111
sony apologizes for battery recall,0.0678,0.1356,0.0678,0.339,0.2203,0.1695
mass venezuela opposition rally,0.36,0,0.2,0.1867,0.04,0.2133
squirrel jumps boy in park rabies suspected,0.153,0.0219,0.3333,0,0.153,0.3388
