year,ID,Estimate; HOUSEHOLDS BY TYPE - Total households,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; HOUSEHOLDS BY TYPE - Average family size,Estimate; RELATIONSHIP - Population in households,Estimate; MARITAL STATUS - Males 15 years and over,Estimate; MARITAL STATUS - Females 15 years and over,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; VETERAN STATUS - Civilian population 18 years and over,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over,Estimate; PLACE OF BIRTH - Total population,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population,Estimate; YEAR OF ENTRY - Population born outside the United States,Estimate; YEAR OF ENTRY - Native,Estimate; YEAR OF ENTRY - Foreign born,Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population£» excluding population born at sea,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over,Estimate; ANCESTRY - Total population,number
5,21085,9840.0,3223.0,2862.0,2.6,3.17,25611.0,10327.0,10469.0,644.0,431.0,6020.0,17540.0,19741.0,25720.0,26001.0,175.0,246.0,71.0,175.0,175.0,24289.0,26001.0,121
6,21085,9736.0,3190.0,2939.0,2.65,3.21,25765.0,10388.0,10507.0,820.0,481.0,5967.0,17649.0,19814.0,25735.0,26092.0,181.0,314.0,133.0,181.0,181.0,24504.0,26092.0,122
0,21087,4435.0,1396.0,1330.0,2.53,3.0,11217.0,4525.0,4760.0,207.0,98.0,2410.0,8021.0,8822.0,11231.0,11377.0,149.0,154.0,5.0,149.0,149.0,10724.0,11377.0,59
1,21087,4422.0,1453.0,1360.0,2.53,2.97,11181.0,4532.0,4706.0,227.0,113.0,2452.0,8028.0,8790.0,11230.0,11334.0,124.0,130.0,6.0,124.0,124.0,10689.0,11334.0,29
2,21087,4480.0,1480.0,1448.0,2.49,2.93,11167.0,4482.0,4741.0,227.0,91.0,2507.0,7947.0,8780.0,11248.0,11309.0,105.0,110.0,5.0,105.0,105.0,10666.0,11309.0,35
3,21087,4495.0,1363.0,1478.0,2.47,2.96,11122.0,4465.0,4746.0,196.0,84.0,2428.0,7952.0,8754.0,11163.0,11252.0,128.0,151.0,23.0,128.0,128.0,10600.0,11252.0,30
4,21087,4474.0,1328.0,1550.0,2.47,2.97,11058.0,4439.0,4751.0,51.0,19.0,2318.0,7888.0,8739.0,11083.0,11186.0,110.0,147.0,37.0,110.0,110.0,10572.0,11186.0,33
5,21087,4477.0,1297.0,1646.0,2.46,2.99,11025.0,4415.0,4774.0,66.0,31.0,2375.0,7915.0,8732.0,11026.0,11149.0,132.0,174.0,42.0,132.0,132.0,10574.0,11149.0,37
6,21087,4528.0,1287.0,1584.0,2.43,2.94,10996.0,4454.0,4733.0,72.0,20.0,2328.0,7916.0,8730.0,10988.0,11123.0,130.0,175.0,45.0,130.0,130.0,10512.0,11123.0,13
0,21089,14374.0,4446.0,4208.0,2.54,3.1,36459.0,14229.0,15808.0,1092.0,696.0,8176.0,25806.0,28490.0,36637.0,36962.0,404.0,528.0,124.0,404.0,404.0,34780.0,36962.0,108
1,21089,14309.0,4380.0,4276.0,2.55,3.12,36527.0,14301.0,15819.0,1364.0,849.0,8038.0,25904.0,28566.0,36660.0,36974.0,407.0,516.0,109.0,407.0,407.0,34847.0,36974.0,125
2,21089,14421.0,4578.0,4357.0,2.53,3.08,36473.0,14314.0,15745.0,1224.0,716.0,8249.0,25908.0,28552.0,36566.0,36922.0,378.0,496.0,118.0,378.0,378.0,34845.0,36922.0,161
3,21089,14465.0,4712.0,4452.0,2.51,3.05,36377.0,14387.0,15670.0,1346.0,866.0,8199.0,25908.0,28593.0,36486.0,36822.0,305.0,383.0,78.0,305.0,305.0,34755.0,36822.0,151
4,21089,14230.0,4776.0,4564.0,2.55,3.04,36216.0,14323.0,15626.0,1616.0,977.0,8098.0,25858.0,28522.0,36365.0,36656.0,300.0,388.0,88.0,300.0,300.0,34640.0,36656.0,122
5,21089,14200.0,4646.0,4661.0,2.54,3.0,36050.0,14345.0,15496.0,1548.0,905.0,8111.0,25779.0,28432.0,36203.0,36477.0,273.0,323.0,50.0,273.0,273.0,34491.0,36477.0,152
6,21089,14289.0,4680.0,4782.0,2.51,2.95,35836.0,14248.0,15442.0,1492.0,875.0,8042.0,25679.0,28321.0,35996.0,36255.0,286.0,337.0,51.0,286.0,286.0,34292.0,36255.0,124
0,21091,3234.0,1129.0,737.0,2.62,3.11,8483.0,3368.0,3368.0,149.0,126.0,2227.0,5708.0,6299.0,8441.0,8555.0,44.0,89.0,45.0,44.0,44.0,7994.0,8555.0,22.666666666666668
1,21091,3309.0,1144.0,775.0,2.56,3.0,8463.0,3347.0,3392.0,147.0,126.0,2190.0,5720.0,6322.0,8443.0,8559.0,61.0,101.0,40.0,61.0,61.0,8001.0,8559.0,22.666666666666668
2,21091,3255.0,1182.0,811.0,2.61,3.02,8490.0,3388.0,3376.0,173.0,109.0,2130.0,5752.0,6376.0,8447.0,8588.0,71.0,99.0,28.0,71.0,71.0,8029.0,8588.0,22.666666666666668
3,21091,3361.0,1248.0,864.0,2.53,2.89,8500.0,3432.0,3379.0,174.0,101.0,2139.0,5770.0,6424.0,8499.0,8608.0,77.0,102.0,25.0,77.0,77.0,8066.0,8608.0,29.833333333333336
4,21091,3367.0,1176.0,871.0,2.54,2.91,8547.0,3439.0,3390.0,209.0,109.0,2074.0,5770.0,6441.0,8558.0,8654.0,74.0,92.0,18.0,74.0,74.0,8110.0,8654.0,37
5,21091,3265.0,1177.0,895.0,2.62,3.03,8563.0,3452.0,3407.0,228.0,113.0,2082.0,5795.0,6465.0,8588.0,8669.0,43.0,62.0,19.0,43.0,43.0,8122.0,8669.0,27.0
6,21091,3254.0,1246.0,912.0,2.64,2.98,8605.0,3520.0,3423.0,278.0,121.0,2101.0,5849.0,6545.0,8635.0,8716.0,42.0,77.0,35.0,42.0,42.0,8168.0,8716.0,17
0,21093,37426.0,14269.0,7637.0,2.58,3.03,96627.0,39063.0,40148.0,1685.0,916.0,26941.0,64604.0,69097.0,99495.0,100876.0,4230.0,7370.0,3140.0,4230.0,4230.0,93537.0,100876.0,631
1,21093,37883.0,14596.0,7805.0,2.61,3.09,99034.0,39775.0,41023.0,2043.0,974.0,27810.0,66146.0,70486.0,101424.0,102873.0,4345.0,7651.0,3306.0,4345.0,4345.0,95327.0,102873.0,791
2,21093,38908.0,14889.0,8114.0,2.59,3.04,100674.0,40449.0,41711.0,2200.0,1037.0,28219.0,67321.0,71507.0,102966.0,104513.0,4588.0,8060.0,3472.0,4588.0,4588.0,96898.0,104513.0,724
3,21093,39401.0,14943.0,8233.0,2.6,3.08,102502.0,41074.0,42333.0,2226.0,824.0,28684.0,68174.0,72878.0,104558.0,106211.0,4800.0,8599.0,3799.0,4800.0,4800.0,98430.0,106211.0,513
4,21093,39955.0,14749.0,8529.0,2.6,3.13,104020.0,41878.0,42734.0,2679.0,1043.0,29152.0,69128.0,74899.0,105916.0,107565.0,4863.0,8776.0,3913.0,4863.0,4863.0,99832.0,107565.0,703
5,21093,40376.0,14562.0,8950.0,2.58,3.12,104270.0,42049.0,42815.0,2589.0,1034.0,29390.0,69451.0,75805.0,106039.0,107529.0,4606.0,8792.0,4186.0,4606.0,4606.0,99958.0,107529.0,598
6,21093,40422.0,13889.0,9395.0,2.59,3.16,104565.0,42206.0,42936.0,2707.0,1279.0,29590.0,69718.0,76599.0,106243.0,107573.0,4387.0,8362.0,3975.0,4387.0,4387.0,100135.0,107573.0,618
0,21095,10700.0,3487.0,3040.0,2.75,3.42,29378.0,11531.0,12533.0,874.0,624.0,6791.0,20301.0,22796.0,29263.0,29688.0,46.0,145.0,99.0,46.0,46.0,27813.0,29688.0,419
1,21095,10642.0,3366.0,3019.0,2.73,3.41,29033.0,11497.0,12412.0,713.0,475.0,6588.0,20167.0,22685.0,29063.0,29479.0,103.0,208.0,105.0,103.0,103.0,27580.0,29479.0,434
2,21095,11058.0,3655.0,3107.0,2.6,3.2,28705.0,11420.0,12274.0,805.0,533.0,6621.0,20019.0,22517.0,28878.0,29210.0,104.0,185.0,81.0,104.0,104.0,27344.0,29210.0,736
3,21095,11343.0,3901.0,3179.0,2.51,3.03,28444.0,11351.0,12210.0,858.0,573.0,6420.0,19919.0,22396.0,28757.0,29012.0,128.0,190.0,62.0,128.0,128.0,27137.0,29012.0,333
4,21095,11251.0,3808.0,3263.0,2.5,3.03,28114.0,11211.0,12054.0,1061.0,773.0,6220.0,19715.0,22161.0,28504.0,28744.0,205.0,225.0,20.0,205.0,205.0,26829.0,28744.0,397
5,21095,11406.0,3617.0,3442.0,2.43,2.94,27712.0,11089.0,11961.0,971.0,633.0,6329.0,19523.0,21942.0,28126.0,28400.0,174.0,229.0,55.0,174.0,174.0,26524.0,28400.0,425
6,21095,11429.0,3743.0,3540.0,2.39,2.86,27318.0,10946.0,11780.0,1045.0,650.0,6109.0,19405.0,21669.0,27729.0,28031.0,177.0,229.0,52.0,177.0,177.0,26181.0,28031.0,351
0,21097,7275.0,2438.0,2008.0,2.55,3.22,18541.0,7241.0,7707.0,400.0,155.0,4292.0,12790.0,14091.0,18526.0,18761.0,219.0,264.0,45.0,219.0,219.0,17606.0,18761.0,106
1,21097,7172.0,2218.0,1908.0,2.59,3.28,18579.0,7252.0,7852.0,280.0,127.0,4510.0,12943.0,14261.0,18620.0,18823.0,251.0,286.0,35.0,251.0,251.0,17706.0,18823.0,47
2,21097,7243.0,2295.0,1968.0,2.56,3.24,18508.0,7262.0,7839.0,395.0,233.0,4444.0,12958.0,14309.0,18589.0,18781.0,317.0,376.0,59.0,317.0,317.0,17632.0,18781.0,105
3,21097,7179.0,2243.0,2016.0,2.56,3.23,18386.0,7245.0,7791.0,536.0,382.0,4432.0,12825.0,14254.0,18552.0,18693.0,347.0,400.0,53.0,347.0,347.0,17569.0,18693.0,153
4,21097,7257.0,2100.0,2065.0,2.52,3.17,18315.0,7241.0,7804.0,537.0,392.0,4357.0,12793.0,14269.0,18418.0,18643.0,299.0,372.0,73.0,299.0,299.0,17574.0,18643.0,148
5,21097,7120.0,2244.0,2122.0,2.57,3.2,18298.0,7222.0,7851.0,618.0,429.0,4188.0,12810.0,14278.0,18412.0,18648.0,304.0,468.0,164.0,304.0,304.0,17566.0,18648.0,192
6,21097,7135.0,2281.0,2188.0,2.56,3.11,18262.0,7330.0,7799.0,523.0,358.0,3906.0,12805.0,14324.0,18463.0,18629.0,320.0,495.0,175.0,320.0,320.0,17597.0,18629.0,160
0,21099,7050.0,2592.0,1922.0,2.53,3.06,17830.0,7049.0,7426.0,477.0,248.0,4295.0,12191.0,13586.0,17919.0,18201.0,88.0,215.0,127.0,88.0,88.0,17034.0,18201.0,76
1,21099,6892.0,2414.0,1923.0,2.6,3.15,17936.0,7076.0,7448.0,636.0,367.0,4277.0,12192.0,13632.0,17887.0,18228.0,136.0,214.0,78.0,136.0,136.0,17103.0,18228.0,104
2,21099,6957.0,2492.0,1951.0,2.59,3.11,17998.0,7105.0,7493.0,703.0,401.0,4164.0,12251.0,13712.0,17967.0,18278.0,186.0,325.0,139.0,186.0,186.0,17133.0,18278.0,118
3,21099,7115.0,2340.0,1991.0,2.54,3.05,18070.0,7141.0,7486.0,502.0,279.0,4101.0,12271.0,13747.0,18030.0,18345.0,131.0,212.0,81.0,131.0,131.0,17186.0,18345.0,73
4,21099,7135.0,2339.0,1957.0,2.55,3.01,18160.0,7214.0,7454.0,441.0,220.0,4241.0,12336.0,13868.0,18143.0,18427.0,176.0,261.0,85.0,176.0,176.0,17256.0,18427.0,92
5,21099,7294.0,2438.0,2094.0,2.49,2.96,18187.0,7259.0,7480.0,453.0,231.0,4138.0,12444.0,13949.0,18193.0,18441.0,189.0,246.0,57.0,189.0,189.0,17299.0,18441.0,70
6,21099,7387.0,2447.0,2171.0,2.47,2.95,18251.0,7273.0,7523.0,335.0,151.0,4013.0,12537.0,14017.0,18271.0,18510.0,164.0,236.0,72.0,164.0,164.0,17292.0,18510.0,70
0,21101,18499.0,6040.0,4447.0,2.43,2.97,45011.0,17563.0,19286.0,925.0,659.0,10339.0,31323.0,34980.0,45323.0,45943.0,562.0,739.0,177.0,562.0,562.0,42848.0,45943.0,222
1,21101,18652.0,5918.0,4613.0,2.42,2.99,45066.0,17538.0,19419.0,1085.0,780.0,10378.0,31462.0,35141.0,45481.0,46095.0,493.0,615.0,122.0,493.0,493.0,43033.0,46095.0,136
2,21101,18665.0,5866.0,4789.0,2.42,2.99,45090.0,17599.0,19498.0,1388.0,919.0,10341.0,31596.0,35297.0,45654.0,46254.0,463.0,629.0,166.0,463.0,463.0,43152.0,46254.0,179
3,21101,18787.0,5922.0,4937.0,2.4,2.97,45172.0,17681.0,19500.0,1409.0,797.0,10677.0,31722.0,35399.0,45778.0,46303.0,604.0,786.0,182.0,604.0,604.0,43266.0,46303.0,180
4,21101,18875.0,5859.0,5010.0,2.39,2.99,45203.0,17798.0,19489.0,1327.0,753.0,10999.0,31853.0,35521.0,45927.0,46394.0,574.0,771.0,197.0,574.0,574.0,43411.0,46394.0,190
5,21101,18742.0,5762.0,5150.0,2.41,2.98,45130.0,17799.0,19529.0,1281.0,709.0,10789.0,32024.0,35561.0,45979.0,46396.0,606.0,774.0,168.0,606.0,606.0,43458.0,46396.0,262
6,21101,18914.0,5975.0,5207.0,2.39,2.95,45139.0,17870.0,19485.0,1279.0,752.0,10853.0,31966.0,35536.0,45862.0,46362.0,616.0,837.0,221.0,616.0,616.0,43460.0,46362.0,370
0,21103,5917.0,2138.0,1388.0,2.58,3.01,15239.0,5993.0,6233.0,417.0,266.0,3582.0,10491.0,11566.0,15291.0,15474.0,240.0,279.0,39.0,240.0,240.0,14512.0,15474.0,19
1,21103,6023.0,2211.0,1556.0,2.56,2.96,15401.0,5951.0,6321.0,436.0,270.0,3769.0,10492.0,11609.0,15291.0,15472.0,211.0,249.0,38.0,211.0,211.0,14555.0,15472.0,11
2,21103,6018.0,2122.0,1591.0,2.55,2.99,15355.0,5985.0,6303.0,498.0,279.0,3663.0,10490.0,11602.0,15250.0,15428.0,257.0,293.0,36.0,257.0,257.0,14464.0,15428.0,83
3,21103,6008.0,2147.0,1653.0,2.55,2.94,15348.0,5988.0,6321.0,594.0,306.0,3686.0,10499.0,11629.0,15197.0,15425.0,236.0,282.0,46.0,236.0,236.0,14500.0,15425.0,55
4,21103,5984.0,2114.0,1691.0,2.56,2.97,15347.0,5965.0,6412.0,516.0,289.0,3580.0,10526.0,11697.0,15197.0,15427.0,223.0,267.0,44.0,223.0,223.0,14533.0,15427.0,78
5,21103,5992.0,1982.0,1778.0,2.57,3.02,15372.0,5998.0,6431.0,412.0,152.0,3623.0,10549.0,11760.0,15240.0,15455.0,217.0,233.0,16.0,217.0,217.0,14566.0,15455.0,86
6,21103,5996.0,1939.0,1831.0,2.58,3.04,15445.0,6060.0,6474.0,555.0,216.0,3538.0,10635.0,11859.0,15294.0,15528.0,196.0,210.0,14.0,196.0,196.0,14639.0,15528.0,104
0,21105,2057.0,562.0,690.0,2.33,3.07,4785.0,1946.0,2155.0,81.0,61.0,1106.0,3569.0,3885.0,4875.0,4949.0,26.0,68.0,42.0,26.0,26.0,4673.0,4949.0,20.833333333333332
1,21105,1983.0,518.0,679.0,2.39,3.23,4730.0,1916.0,2136.0,67.0,42.0,1144.0,3590.0,3847.0,4849.0,4905.0,32.0,65.0,33.0,32.0,32.0,4653.0,4905.0,28
2,21105,1980.0,472.0,692.0,2.36,3.24,4680.0,1952.0,2101.0,128.0,97.0,1163.0,3497.0,3841.0,4827.0,4869.0,65.0,110.0,45.0,65.0,65.0,4614.0,4869.0,4
3,21105,1983.0,472.0,716.0,2.34,3.11,4644.0,1909.0,2111.0,233.0,113.0,1093.0,3485.0,3827.0,4791.0,4834.0,77.0,114.0,37.0,77.0,77.0,4585.0,4834.0,16
4,21105,1992.0,460.0,704.0,2.3,2.95,4589.0,1850.0,2123.0,188.0,101.0,1088.0,3456.0,3809.0,4712.0,4790.0,35.0,47.0,12.0,35.0,35.0,4559.0,4790.0,18
5,21105,1973.0,471.0,696.0,2.29,2.86,4520.0,1845.0,2096.0,165.0,85.0,1095.0,3399.0,3780.0,4658.0,4720.0,31.0,51.0,20.0,31.0,31.0,4531.0,4720.0,3
6,21105,1856.0,395.0,725.0,2.43,3.09,4512.0,1798.0,2120.0,125.0,48.0,1029.0,3304.0,3767.0,4611.0,4691.0,38.0,64.0,26.0,38.0,38.0,4490.0,4691.0,13
0,21107,18401.0,5938.0,4847.0,2.53,3.05,46508.0,18203.0,19683.0,1084.0,563.0,10742.0,32328.0,35883.0,46352.0,46886.0,621.0,832.0,211.0,621.0,621.0,43908.0,46886.0,249
1,21107,18518.0,6097.0,4977.0,2.49,3.03,46149.0,18249.0,19560.0,1107.0,543.0,10676.0,32518.0,35950.0,46411.0,46921.0,551.0,749.0,198.0,551.0,551.0,43872.0,46921.0,359
2,21107,18556.0,6143.0,5071.0,2.48,3.03,46070.0,18211.0,19538.0,1209.0,565.0,10730.0,32593.0,35986.0,46312.0,46891.0,536.0,721.0,185.0,536.0,536.0,43885.0,46891.0,280
3,21107,18495.0,6010.0,5243.0,2.48,3.03,45930.0,18099.0,19577.0,1269.0,740.0,10540.0,32516.0,35957.0,46336.0,46810.0,565.0,747.0,182.0,565.0,565.0,43824.0,46810.0,388
4,21107,18533.0,5919.0,5283.0,2.47,3.02,45746.0,18063.0,19598.0,1153.0,626.0,10287.0,32310.0,35906.0,46233.0,46684.0,455.0,591.0,136.0,455.0,455.0,43741.0,46684.0,356
5,21107,18622.0,5783.0,5340.0,2.45,2.98,45531.0,18045.0,19639.0,1035.0,553.0,10049.0,32279.0,35815.0,46054.0,46518.0,443.0,617.0,174.0,443.0,443.0,43667.0,46518.0,346
6,21107,18394.0,5743.0,5450.0,2.47,2.97,45342.0,17906.0,19571.0,1041.0,546.0,9893.0,32189.0,35628.0,45834.0,46359.0,469.0,637.0,168.0,469.0,469.0,43516.0,46359.0,367
0,21109,5728.0,1794.0,1465.0,2.37,2.81,13547.0,5316.0,5591.0,230.0,174.0,3172.0,9245.0,10308.0,13370.0,13560.0,18.0,38.0,20.0,18.0,18.0,12715.0,13560.0,145
1,21109,5569.0,1687.0,1378.0,2.41,2.87,13408.0,5314.0,5616.0,261.0,211.0,2908.0,9275.0,10317.0,13344.0,13537.0,17.0,42.0,25.0,17.0,17.0,12707.0,13537.0,198
2,21109,5739.0,1874.0,1396.0,2.33,2.78,13350.0,5315.0,5594.0,302.0,247.0,2976.0,9260.0,10297.0,13357.0,13475.0,0.0,20.0,20.0,0.0,0.0,12664.0,13475.0,135
3,21109,5712.0,1806.0,1391.0,2.33,2.8,13298.0,5297.0,5589.0,453.0,394.0,2995.0,9251.0,10291.0,13294.0,13418.0,49.0,63.0,14.0,49.0,49.0,12628.0,13418.0,66
4,21109,5670.0,1944.0,1424.0,2.34,2.71,13253.0,5301.0,5570.0,477.0,400.0,2959.0,9264.0,10291.0,13271.0,13370.0,53.0,65.0,12.0,53.0,53.0,12599.0,13370.0,91
5,21109,5546.0,2051.0,1398.0,2.39,2.75,13243.0,5315.0,5537.0,659.0,485.0,2786.0,9241.0,10274.0,13191.0,13357.0,49.0,49.0,0.0,49.0,49.0,12566.0,13357.0,63
6,21109,5546.0,1991.0,1494.0,2.39,2.83,13247.0,5322.0,5543.0,720.0,556.0,2913.0,9273.0,10322.0,13193.0,13357.0,64.0,78.0,14.0,64.0,64.0,12562.0,13357.0,97
0,21111,300561.0,92939.0,69064.0,2.38,3.04,715629.0,278883.0,308892.0,14806.0,7317.0,183683.0,493092.0,557736.0,720017.0,729452.0,41927.0,47257.0,5330.0,41927.0,41927.0,681750.0,729452.0,5426
1,21111,301312.0,93211.0,70417.0,2.4,3.05,722202.0,281890.0,311450.0,15218.0,7911.0,185736.0,498002.0,563443.0,726086.0,735804.0,44220.0,49516.0,5296.0,44220.0,44220.0,687589.0,735804.0,5953
2,21111,303915.0,93548.0,71997.0,2.39,3.05,727223.0,284364.0,313663.0,15001.0,7739.0,188116.0,502301.0,568320.0,732191.0,741285.0,46852.0,52023.0,5171.0,46852.0,46852.0,692605.0,741285.0,5494
3,21111,305832.0,92759.0,73889.0,2.39,3.04,732104.0,286983.0,316000.0,15129.0,7928.0,188412.0,507007.0,573489.0,737749.0,746580.0,48383.0,53443.0,5060.0,48383.0,48383.0,697718.0,746580.0,5184
4,21111,306511.0,90497.0,75546.0,2.4,3.08,736164.0,289021.0,318655.0,14208.0,7257.0,189848.0,511378.0,578506.0,742190.0,751485.0,50345.0,55683.0,5338.0,50345.0,50345.0,702446.0,751485.0,4512
5,21111,306915.0,89788.0,77719.0,2.41,3.09,740375.0,291176.0,320775.0,15226.0,7707.0,189423.0,515934.0,583007.0,746154.0,755809.0,50641.0,56299.0,5658.0,50641.0,50641.0,706605.0,755809.0,3836
6,21111,310355.0,89504.0,80062.0,2.4,3.08,744060.0,293374.0,322506.0,14952.0,7272.0,186436.0,520121.0,586827.0,749913.0,759724.0,52457.0,57947.0,5490.0,52457.0,52457.0,710713.0,759724.0,3825
0,21113,17482.0,7080.0,3321.0,2.6,2.99,45439.0,17755.0,19361.0,907.0,373.0,13084.0,30075.0,34795.0,46551.0,47073.0,1512.0,1927.0,415.0,1512.0,1512.0,43766.0,47073.0,316
1,21113,17797.0,7278.0,3616.0,2.59,2.98,46058.0,18139.0,19647.0,934.0,432.0,13291.0,30645.0,35477.0,47326.0,47880.0,1602.0,1906.0,304.0,1602.0,1602.0,44597.0,47880.0,341
2,21113,17960.0,7163.0,3769.0,2.6,3.01,46785.0,18365.0,19899.0,914.0,493.0,13562.0,31042.0,35994.0,48003.0,48591.0,1587.0,1888.0,301.0,1587.0,1587.0,45227.0,48591.0,246
3,21113,18012.0,7112.0,3939.0,2.63,3.01,47317.0,18617.0,20186.0,814.0,356.0,13380.0,31473.0,36595.0,48487.0,49112.0,1538.0,1924.0,386.0,1538.0,1538.0,45771.0,49112.0,204
4,21113,18120.0,7011.0,4055.0,2.63,3.0,47730.0,18904.0,20396.0,758.0,323.0,13494.0,31948.0,37100.0,48988.0,49601.0,1632.0,2047.0,415.0,1632.0,1632.0,46235.0,49601.0,363
5,21113,18312.0,7008.0,4290.0,2.65,2.97,48523.0,19190.0,20738.0,827.0,455.0,13536.0,32484.0,37726.0,49732.0,50328.0,2090.0,2526.0,436.0,2090.0,2090.0,46846.0,50328.0,215
6,21113,18401.0,6936.0,4593.0,2.67,3.0,49133.0,19451.0,21041.0,968.0,488.0,13767.0,33007.0,38291.0,50296.0,51015.0,2281.0,2688.0,407.0,2281.0,2281.0,47559.0,51015.0,195
0,21115,9151.0,3239.0,2497.0,2.51,2.94,22962.0,9143.0,9734.0,704.0,471.0,4645.0,16091.0,17974.0,23015.0,23325.0,83.0,140.0,57.0,83.0,83.0,21803.0,23325.0,243
1,21115,9397.0,3263.0,2442.0,2.43,2.82,22846.0,9199.0,9725.0,706.0,506.0,4883.0,16121.0,18025.0,23071.0,23327.0,106.0,165.0,59.0,106.0,106.0,21863.0,23327.0,170
2,21115,9329.0,3148.0,2426.0,2.45,2.86,22875.0,9231.0,9748.0,714.0,541.0,4906.0,16200.0,18094.0,23095.0,23339.0,136.0,231.0,95.0,136.0,136.0,21936.0,23339.0,111
3,21115,9154.0,2966.0,2367.0,2.5,2.92,22900.0,9225.0,9798.0,583.0,431.0,5234.0,16229.0,18142.0,23181.0,23377.0,111.0,226.0,115.0,111.0,111.0,21977.0,23377.0,186
4,21115,9134.0,2880.0,2481.0,2.51,2.94,22894.0,9194.0,9761.0,590.0,424.0,5283.0,16190.0,18077.0,23204.0,23390.0,114.0,284.0,170.0,114.0,114.0,22001.0,23390.0,180
5,21115,9035.0,2768.0,2544.0,2.53,3.02,22835.0,9194.0,9723.0,637.0,472.0,5204.0,16189.0,18032.0,23155.0,23350.0,105.0,260.0,155.0,105.0,105.0,21960.0,23350.0,213
6,21115,8820.0,2552.0,2683.0,2.58,3.13,22771.0,9206.0,9696.0,517.0,308.0,5057.0,16204.0,18004.0,23083.0,23280.0,134.0,321.0,187.0,134.0,134.0,21847.0,23280.0,133
0,21117,61912.0,20895.0,12771.0,2.52,3.15,155997.0,60615.0,64109.0,3492.0,1481.0,41563.0,104296.0,118179.0,155411.0,158034.0,4201.0,4998.0,797.0,4201.0,4201.0,146656.0,158034.0,1073
1,21117,62054.0,20875.0,12846.0,2.52,3.14,156402.0,61266.0,64452.0,3240.0,1469.0,41904.0,105071.0,119101.0,156501.0,159008.0,3805.0,4571.0,766.0,3805.0,3805.0,147477.0,159008.0,1104
2,21117,62260.0,20705.0,13094.0,2.53,3.15,157383.0,61726.0,64718.0,3213.0,1617.0,41732.0,106148.0,119970.0,157585.0,159926.0,3972.0,4679.0,707.0,3972.0,3972.0,148312.0,159926.0,1284
3,21117,61800.0,20660.0,13138.0,2.56,3.18,158303.0,62162.0,65196.0,3347.0,1648.0,41893.0,107136.0,120828.0,158707.0,160828.0,4014.0,4848.0,834.0,4014.0,4014.0,149238.0,160828.0,1520
4,21117,61962.0,20560.0,13703.0,2.57,3.19,159438.0,62659.0,65702.0,3828.0,1954.0,41583.0,107983.0,121815.0,159746.0,161915.0,3913.0,4716.0,803.0,3913.0,3913.0,150288.0,161915.0,1369
5,21117,62225.0,20786.0,14183.0,2.58,3.19,160718.0,63288.0,66060.0,3541.0,1832.0,41465.0,109078.0,122793.0,160755.0,163007.0,4031.0,4810.0,779.0,4031.0,4031.0,151426.0,163007.0,1124
6,21117,62746.0,20408.0,14777.0,2.57,3.17,161085.0,63698.0,66370.0,3637.0,1789.0,40890.0,110045.0,123549.0,161172.0,163393.0,4429.0,5174.0,745.0,4429.0,4429.0,152354.0,163393.0,1186
0,21119,6012.0,1923.0,1567.0,2.65,3.21,15925.0,6694.0,6945.0,415.0,270.0,4096.0,11299.0,12945.0,16338.0,16587.0,84.0,169.0,85.0,84.0,84.0,15639.0,16587.0,284
1,21119,5878.0,1809.0,1486.0,2.67,3.22,15708.0,6653.0,6915.0,450.0,320.0,3938.0,11269.0,12884.0,16282.0,16483.0,105.0,193.0,88.0,105.0,105.0,15535.0,16483.0,91
2,21119,5855.0,1774.0,1535.0,2.67,3.27,15621.0,6623.0,6876.0,540.0,400.0,3830.0,11239.0,12845.0,16163.0,16368.0,43.0,130.0,87.0,43.0,43.0,15419.0,16368.0,151
3,21119,5892.0,1760.0,1557.0,2.63,3.23,15513.0,6544.0,6776.0,511.0,362.0,3680.0,11113.0,12709.0,15999.0,16217.0,11.0,93.0,82.0,11.0,11.0,15286.0,16217.0,118
4,21119,5776.0,1728.0,1588.0,2.67,3.29,15445.0,6530.0,6743.0,589.0,360.0,3663.0,11035.0,12703.0,15937.0,16139.0,57.0,112.0,55.0,57.0,57.0,15212.0,16139.0,87
5,21119,5984.0,1891.0,1597.0,2.57,3.11,15351.0,6498.0,6693.0,531.0,326.0,3515.0,10934.0,12623.0,15779.0,16000.0,61.0,93.0,32.0,61.0,61.0,15084.0,16000.0,32
6,21119,6064.0,1863.0,1698.0,2.51,3.02,15194.0,6480.0,6649.0,433.0,300.0,3534.0,10913.0,12564.0,15678.0,15884.0,53.0,65.0,12.0,53.0,53.0,15007.0,15884.0,201
